IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.21.88.54,4,4,0.00,103.36,65.78,HKG
104.25.250.92,4,4,0.00,100.84,64.35,HKG
172.64.146.12,4,4,0.00,101.56,63.84,HKG
104.21.93.224,4,4,0.00,100.57,57.53,HKG
104.17.186.206,4,4,0.00,96.19,0.31,HKG
104.16.149.40,4,4,0.00,122.89,0.20,HKG
104.16.147.11,4,4,0.00,105.81,0.17,HKG
104.16.152.33,4,4,0.00,116.68,0.16,HKG
104.17.159.50,4,4,0.00,122.45,0.14,HKG
104.16.144.35,4,4,0.00,87.47,0.10,HKG
104.16.157.193,4,4,0.00,93.90,0.09,HKG
104.16.151.96,4,4,0.00,119.49,0.09,HKG
104.16.156.54,4,4,0.00,119.63,0.08,HKG
104.18.47.45,4,4,0.00,94.07,0.07,HKG
104.16.159.239,4,4,0.00,123.33,0.06,HKG
104.17.126.26,4,4,0.00,126.89,0.03,HKG
104.17.187.84,4,4,0.00,90.80,0.03,HKG
104.17.190.61,4,4,0.00,93.92,0.03,HKG
104.18.74.121,4,4,0.00,194.49,0.00,N/A
172.66.205.66,4,4,0.00,197.32,0.00,N/A
104.16.244.127,4,4,0.00,129.77,0.00,N/A
104.17.184.33,4,4,0.00,136.08,0.00,N/A
104.19.149.173,4,4,0.00,141.27,0.00,N/A
172.64.145.119,4,4,0.00,143.60,0.00,N/A
104.17.182.203,4,4,0.00,143.60,0.00,N/A
104.16.150.200,4,4,0.00,149.78,0.00,N/A
104.17.185.74,4,4,0.00,152.55,0.00,N/A
104.17.189.95,4,4,0.00,153.41,0.00,N/A
172.64.156.164,4,4,0.00,155.91,0.00,N/A
104.16.155.142,4,4,0.00,156.56,0.00,N/A
104.16.158.202,4,4,0.00,158.84,0.00,N/A
104.20.57.212,4,4,0.00,165.78,0.00,N/A
104.17.229.153,4,4,0.00,166.57,0.00,N/A
104.18.12.153,4,4,0.00,167.14,0.00,N/A
104.17.19.5,4,4,0.00,167.19,0.00,N/A
104.20.59.119,4,4,0.00,169.43,0.00,N/A
104.17.255.213,4,4,0.00,172.73,0.00,N/A
104.17.240.167,4,4,0.00,173.11,0.00,N/A
104.17.243.193,4,4,0.00,173.47,0.00,N/A
104.17.228.173,4,4,0.00,174.89,0.00,N/A
104.24.128.52,4,4,0.00,177.43,0.00,N/A
162.159.58.118,4,4,0.00,178.00,0.00,N/A
104.18.94.127,4,4,0.00,178.22,0.00,N/A
173.245.58.179,4,4,0.00,178.97,0.00,N/A
104.16.241.107,4,4,0.00,179.44,0.00,N/A
104.18.88.225,4,4,0.00,180.22,0.00,N/A
104.20.49.222,4,4,0.00,180.32,0.00,N/A
104.17.230.58,4,4,0.00,180.81,0.00,N/A
104.17.242.125,4,4,0.00,180.87,0.00,N/A
172.65.42.120,4,4,0.00,180.94,0.00,N/A
104.21.76.164,4,4,0.00,181.12,0.00,N/A
104.17.244.159,4,4,0.00,181.28,0.00,N/A
172.65.34.2,4,4,0.00,181.51,0.00,N/A
172.65.47.70,4,4,0.00,182.34,0.00,N/A
104.17.191.146,4,4,0.00,184.05,0.00,N/A
104.20.54.18,4,4,0.00,185.38,0.00,N/A
104.20.48.195,4,4,0.00,185.48,0.00,N/A
104.25.33.237,4,4,0.00,185.54,0.00,N/A
162.159.34.38,4,4,0.00,185.63,0.00,N/A
104.16.180.29,4,4,0.00,185.85,0.00,N/A
162.159.60.150,4,4,0.00,185.92,0.00,N/A
104.20.55.44,4,4,0.00,186.16,0.00,N/A
104.18.223.115,4,4,0.00,187.36,0.00,N/A
104.18.164.253,4,4,0.00,187.46,0.00,N/A
104.18.56.5,4,4,0.00,187.46,0.00,N/A
172.67.158.138,4,4,0.00,188.09,0.00,N/A
172.65.38.11,4,4,0.00,188.75,0.00,N/A
104.24.183.78,4,4,0.00,189.12,0.00,N/A
